SubjID Var1 Var2 Var3 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
ID132 2 2 3 223 44 0.5 0.5 1 0
ID133 2 1 4 214 46 0.5 0.5 0 1
ID134 2 1 3 213 55 0.5 0.5 1 0
ID135 3 1 4 314 40 0.5 0.5 0 1
ID136 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID137 3 1 4 314 40 0.5 0.5 0 1
ID138 2 2 1 221 26 0.5 0.5 1 0
ID139 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID14 2 2 4 224 44 0.5 0.5 0 1
ID140 2 1 2 212 34 0.5 0.5 0 1
ID141 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID142 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID143 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID144 2 2 1 221 26 0.5 0.5 1 0
ID145 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID146 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID147 1 1 3 113 40 0.5 0.5 1 0
ID148 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID149 2 2 4 224 44 0.5 0.5 0 1
ID15 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID150 2 1 3 213 55 0.5 0.5 1 0
ID151 1 2 1 121 50 0.5 0.5 1 0
ID152 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID153 2 2 3 223 44 0.5 0.5 1 0
ID154 1 1 1 111 47 0.5 0.5 1 0
ID155 3 1 4 314 40 0.5 0.5 0 1
ID156 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID157 3 2 4 324 54 0.5 0.5 0 1
ID158 1 2 1 121 50 0.5 0.5 1 0
ID159 2 2 4 224 44 0.5 0.5 0 1
ID16 1 1 3 113 40 0.5 0.5 1 0
ID160 2 2 4 224 44 0.5 0.5 0 1
ID161 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID162 2 2 3 223 44 0.5 0.5 1 0
ID163 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID164 3 2 4 324 54 0.5 0.5 0 1
ID165 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID166 2 2 4 224 44 0.5 0.5 0 1
ID167 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID168 2 1 3 213 55 0.5 0.5 1 0
ID169 3 2 2 322 41 0.5 0.5 0 1
ID17 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID170 3 2 4 324 54 0.5 0.5 0 1
ID171 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID172 3 2 4 324 54 0.5 0.5 0 1
ID173 2 1 4 214 46 0.5 0.5 0 1
ID174 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID175 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID176 2 1 2 212 34 0.5 0.5 0 1
ID177 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID178 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID179 2 2 4 224 44 0.5 0.5 0 1
ID18 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID180 2 2 4 224 44 0.5 0.5 0 1
ID181 1 2 3 123 44 0.5 0.5 1 0
ID182 2 2 4 224 44 0.5 0.5 0 1
ID183 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID184 1 2 1 121 50 0.5 0.5 1 0
ID185 2 1 1 211 52 0.5 0.5 1 0
ID186 1 2 3 123 44 0.5 0.5 1 0
ID187 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID188 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID189 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID19 1 1 3 113 40 0.5 0.5 1 0
ID190 2 1 2 212 34 0.5 0.5 0 1
ID191 1 2 1 121 50 0.5 0.5 1 0
ID192 2 1 3 213 55 0.5 0.5 1 0
ID193 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID194 1 1 3 113 40 0.5 0.5 1 0
ID195 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID196 3 2 2 322 41 0.5 0.5 0 1
ID197 3 2 2 322 41 0.5 0.5 0 1
ID198 2 1 4 214 46 0.5 0.5 0 1
ID199 1 1 3 113 40 0.5 0.5 1 0
ID2 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID20 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID200 2 1 1 211 52 0.5 0.5 1 0
ID201 3 2 2 322 41 0.5 0.5 0 1
ID202 2 1 3 213 55 0.5 0.5 1 0
ID203 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID204 2 2 4 224 44 0.5 0.5 0 1
ID205 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID206 1 1 3 113 40 0.5 0.5 1 0
ID207 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID208 1 1 3 113 40 0.5 0.5 1 0
ID209 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID21 1 2 1 121 50 0.5 0.5 1 0
ID210 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID211 2 2 2 222 30 0.5 0.5 0 1
ID212 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID213 2 1 1 211 52 0.5 0.5 1 0
ID214 1 2 1 121 50 0.5 0.5 1 0
ID215 3 2 4 324 54 0.5 0.5 0 1
ID216 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID217 1 2 1 121 50 0.5 0.5 1 0
ID218 2 2 3 223 44 0.5 0.5 1 0
ID219 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID22 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID220 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID221 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID222 2 2 4 224 44 0.5 0.5 0 1
ID223 1 2 1 121 50 0.5 0.5 1 0
ID224 1 2 1 121 50 0.5 0.5 1 0
ID225 1 1 1 111 47 0.5 0.5 1 0
ID226 1 1 3 113 40 0.5 0.5 1 0
ID227 1 1 1 111 47 0.5 0.5 1 0
ID228 3 1 2 312 41 0.5 0.5 0 1
ID229 2 1 1 211 52 0.5 0.5 1 0
ID23 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID230 2 2 2 222 30 0.5 0.5 0 1
ID231 2 2 4 224 44 0.5 0.5 0 1
ID232 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID233 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID234 2 2 4 224 44 0.5 0.5 0 1
ID235 2 1 2 212 34 0.5 0.5 0 1
ID236 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID237 2 2 2 222 30 0.5 0.5 0 1
ID238 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID239 1 2 3 123 44 0.5 0.5 1 0
ID24 2 1 1 211 52 0.5 0.5 1 0
ID240 2 1 3 213 55 0.5 0.5 1 0
ID241 3 2 2 322 41 0.5 0.5 0 1
ID242 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID243 3 1 2 312 41 0.5 0.5 0 1
ID244 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID245 2 2 4 224 44 0.5 0.5 0 1
ID246 1 2 3 123 44 0.5 0.5 1 0
ID247 2 1 1 211 52 0.5 0.5 1 0
ID248 2 1 3 213 55 0.5 0.5 1 0
ID249 2 1 4 214 46 0.5 0.5 0 1
ID25 3 1 4 314 40 0.5 0.5 0 1
ID250 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID251 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID252 1 2 3 123 44 0.5 0.5 1 0
ID253 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID254 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID255 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID256 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID257 2 2 4 224 44 0.5 0.5 0 1
ID258 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID259 2 1 3 213 55 0.5 0.5 1 0
ID26 2 1 2 212 34 0.5 0.5 0 1
ID260 2 2 4 224 44 0.5 0.5 0 1
ID261 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID262 1 1 3 113 40 0.5 0.5 1 0
ID263 1 1 3 113 40 0.5 0.5 1 0
ID264 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID265 3 2 2 322 41 0.5 0.5 0 1
ID266 1 1 1 111 47 0.5 0.5 1 0
ID267 1 1 1 111 47 0.5 0.5 1 0
ID268 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID269 2 1 3 213 55 0.5 0.5 1 0
ID27 1 1 1 111 47 0.5 0.5 1 0
ID270 2 1 2 212 34 0.5 0.5 0 1
ID271 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID272 2 1 3 213 55 0.5 0.5 1 0
ID273 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID274 1 2 1 121 50 0.5 0.5 1 0
ID275 1 2 3 123 44 0.5 0.5 1 0
ID276 1 2 1 121 50 0.5 0.5 1 0
ID277 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID278 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID279 3 1 4 314 40 0.5 0.5 0 1
ID28 2 2 3 223 44 0.5 0.5 1 0
ID280 1 2 3 123 44 0.5 0.5 1 0
ID281 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID282 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID283 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID284 2 1 3 213 55 0.5 0.5 1 0
ID285 1 2 3 123 44 0.5 0.5 1 0
ID286 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID287 1 2 1 121 50 0.5 0.5 1 0
ID288 2 1 3 213 55 0.5 0.5 1 0
ID289 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID29 3 2 4 324 54 0.5 0.5 0 1
ID290 2 1 1 211 52 0.5 0.5 1 0
ID291 1 2 1 121 50 0.5 0.5 1 0
ID292 1 2 3 123 44 0.5 0.5 1 0
ID293 3 1 2 312 41 0.5 0.5 0 1
ID294 3 2 2 322 41 0.5 0.5 0 1
ID295 2 2 4 224 44 0.5 0.5 0 1
ID296 2 1 2 212 34 0.5 0.5 0 1
ID297 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID298 3 2 2 322 41 0.5 0.5 0 1
ID299 1 1 1 111 47 0.5 0.5 1 0
ID3 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID30 2 1 1 211 52 0.5 0.5 1 0
ID300 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID301 2 2 4 224 44 0.5 0.5 0 1
ID302 1 2 3 123 44 0.5 0.5 1 0
ID303 2 1 3 213 55 0.5 0.5 1 0
ID304 2 2 3 223 44 0.5 0.5 1 0
ID305 2 2 2 222 30 0.5 0.5 0 1
ID306 2 2 3 223 44 0.5 0.5 1 0
ID307 3 1 2 312 41 0.5 0.5 0 1
ID308 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID309 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID31 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID310 3 2 4 324 54 0.5 0.5 0 1
ID311 1 2 3 123 44 0.5 0.5 1 0
ID312 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID313 3 2 4 324 54 0.5 0.5 0 1
ID314 3 2 4 324 54 0.5 0.5 0 1
ID315 2 2 3 223 44 0.5 0.5 1 0
ID316 3 1 2 312 41 0.5 0.5 0 1
ID317 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID318 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID319 1 1 1 111 47 0.5 0.5 1 0
ID32 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID320 1 2 1 121 50 0.5 0.5 1 0
ID321 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID322 2 1 4 214 46 0.5 0.5 0 1
ID323 3 1 4 314 40 0.5 0.5 0 1
ID324 2 2 2 222 30 0.5 0.5 0 1
ID325 1 1 1 111 47 0.5 0.5 1 0
ID326 2 2 2 222 30 0.5 0.5 0 1
ID327 2 2 2 222 30 0.5 0.5 0 1
ID328 2 1 3 213 55 0.5 0.5 1 0
ID329 1 2 1 121 50 0.5 0.5 1 0
ID33 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID330 1 1 3 113 40 0.5 0.5 1 0
ID331 1 2 3 123 44 0.5 0.5 1 0
ID332 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID333 3 2 2 322 41 0.5 0.5 0 1
ID334 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID335 1 2 3 123 44 0.5 0.5 1 0
ID336 3 1 2 312 41 0.5 0.5 0 1
ID337 1 2 1 121 50 0.5 0.5 1 0
ID338 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID339 2 1 2 212 34 0.5 0.5 0 1
ID34 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID340 1 2 1 121 50 0.5 0.5 1 0
ID341 1 1 3 113 40 0.5 0.5 1 0
ID342 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID343 2 1 2 212 34 0.5 0.5 0 1
ID344 3 2 2 322 41 0.5 0.5 0 1
ID345 2 1 4 214 46 0.5 0.5 0 1
ID346 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID347 2 1 4 214 46 0.5 0.5 0 1
ID348 3 2 4 324 54 0.5 0.5 0 1
ID349 2 1 1 211 52 0.5 0.5 1 0
ID35 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID350 3 2 4 324 54 0.5 0.5 0 1
ID351 3 1 4 314 40 0.5 0.5 0 1
ID352 1 1 3 113 40 0.5 0.5 1 0
ID353 2 1 1 211 52 0.5 0.5 1 0
ID354 1 1 3 113 40 0.5 0.5 1 0
ID355 2 1 2 212 34 0.5 0.5 0 1
ID356 2 1 3 213 55 0.5 0.5 1 0
ID357 2 1 3 213 55 0.5 0.5 1 0
ID358 2 2 3 223 44 0.5 0.5 1 0
ID359 1 2 1 121 50 0.5 0.5 1 0
ID36 2 1 1 211 52 0.5 0.5 1 0
ID360 2 1 4 214 46 0.5 0.5 0 1
ID361 1 2 1 121 50 0.5 0.5 1 0
ID362 2 1 4 214 46 0.5 0.5 0 1
ID363 1 1 1 111 47 0.5 0.5 1 0
ID364 3 1 4 314 40 0.5 0.5 0 1
ID365 2 1 1 211 52 0.5 0.5 1 0
ID366 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID367 3 2 2 322 41 0.5 0.5 0 1
ID368 2 2 1 221 26 0.5 0.5 1 0
ID369 3 1 4 314 40 0.5 0.5 0 1
ID37 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID370 2 1 1 211 52 0.5 0.5 1 0
ID371 3 2 4 324 54 0.5 0.5 0 1
ID372 3 1 2 312 41 0.5 0.5 0 1
ID373 1 1 1 111 47 0.5 0.5 1 0
ID374 2 1 3 213 55 0.5 0.5 1 0
ID375 3 1 2 312 41 0.5 0.5 0 1
ID376 1 2 1 121 50 0.5 0.5 1 0
ID377 1 1 1 111 47 0.5 0.5 1 0
ID378 3 2 2 322 41 0.5 0.5 0 1
ID379 2 2 1 221 26 0.5 0.5 1 0
ID38 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID380 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID381 2 2 3 223 44 0.5 0.5 1 0
ID382 2 2 4 224 44 0.5 0.5 0 1
ID383 2 1 4 214 46 0.5 0.5 0 1
ID384 1 2 1 121 50 0.5 0.5 1 0
ID385 2 1 3 213 55 0.5 0.5 1 0
ID386 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID387 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID388 1 1 1 111 47 0.5 0.5 1 0
ID389 2 2 3 223 44 0.5 0.5 1 0
ID39 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID390 2 1 3 213 55 0.5 0.5 1 0
ID391 3 1 2 312 41 0.5 0.5 0 1
ID392 3 1 2 312 41 0.5 0.5 0 1
ID393 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID394 2 2 4 224 44 0.5 0.5 0 1
ID395 2 2 4 224 44 0.5 0.5 0 1
ID396 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID397 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID398 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID399 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID4 2 2 3 223 44 0.5 0.5 1 0
ID40 1 1 1 111 47 0.5 0.5 1 0
ID400 2 1 3 213 55 0.5 0.5 1 0
ID401 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID402 1 1 1 111 47 0.5 0.5 1 0
ID403 3 2 4 324 54 0.5 0.5 0 1
ID404 1 2 3 123 44 0.5 0.5 1 0
ID405 2 1 4 214 46 0.5 0.5 0 1
ID406 2 2 4 224 44 0.5 0.5 0 1
ID407 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID408 2 1 4 214 46 0.5 0.5 0 1
ID409 1 2 3 123 44 0.5 0.5 1 0
ID41 2 1 4 214 46 0.5 0.5 0 1
ID410 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID411 1 1 1 111 47 0.5 0.5 1 0
ID412 1 1 1 111 47 0.5 0.5 1 0
ID413 3 2 4 324 54 0.5 0.5 0 1
ID414 2 1 1 211 52 0.5 0.5 1 0
ID415 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID416 1 2 1 121 50 0.5 0.5 1 0
ID417 2 1 3 213 55 0.5 0.5 1 0
ID418 2 2 4 224 44 0.5 0.5 0 1
ID419 2 1 2 212 34 0.5 0.5 0 1
ID42 3 1 2 312 41 0.5 0.5 0 1
ID420 2 1 1 211 52 0.5 0.5 1 0
ID421 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID422 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID423 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID424 2 1 1 211 52 0.5 0.5 1 0
ID425 3 2 4 324 54 0.5 0.5 0 1
ID426 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID427 3 1 4 314 40 0.5 0.5 0 1
ID428 2 2 2 222 30 0.5 0.5 0 1
ID429 3 1 4 314 40 0.5 0.5 0 1
ID43 3 2 2 322 41 0.5 0.5 0 1
ID430 3 1 4 314 40 0.5 0.5 0 1
ID431 2 2 2 222 30 0.5 0.5 0 1
ID432 2 1 4 214 46 0.5 0.5 0 1
ID433 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID434 2 2 3 223 44 0.5 0.5 1 0
ID435 3 1 4 314 40 0.5 0.5 0 1
ID436 2 1 3 213 55 0.5 0.5 1 0
ID437 2 2 3 223 44 0.5 0.5 1 0
ID438 1 1 1 111 47 0.5 0.5 1 0
ID439 2 1 3 213 55 0.5 0.5 1 0
ID44 1 2 3 123 44 0.5 0.5 1 0
ID440 3 2 4 324 54 0.5 0.5 0 1
ID441 1 2 1 121 50 0.5 0.5 1 0
ID442 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID443 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID444 2 1 2 212 34 0.5 0.5 0 1
ID445 1 2 1 121 50 0.5 0.5 1 0
ID446 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID447 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID448 3 2 2 322 41 0.5 0.5 0 1
ID449 3 1 2 312 41 0.5 0.5 0 1
ID45 3 2 4 324 54 0.5 0.5 0 1
ID450 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID451 2 2 2 222 30 0.5 0.5 0 1
ID452 2 2 3 223 44 0.5 0.5 1 0
ID453 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID454 3 2 4 324 54 0.5 0.5 0 1
ID455 3 1 4 314 40 0.5 0.5 0 1
ID456 3 1 2 312 41 0.5 0.5 0 1
ID457 2 1 3 213 55 0.5 0.5 1 0
ID458 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID459 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID46 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID460 2 1 1 211 52 0.5 0.5 1 0
ID461 1 1 3 113 40 0.5 0.5 1 0
ID462 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID463 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID464 3 2 2 322 41 0.5 0.5 0 1
ID465 2 1 1 211 52 0.5 0.5 1 0
ID466 1 2 1 121 50 0.5 0.5 1 0
ID467 2 1 2 212 34 0.5 0.5 0 1
ID468 3 1 4 314 40 0.5 0.5 0 1
ID469 1 2 1 121 50 0.5 0.5 1 0
ID47 3 1 2 312 41 0.5 0.5 0 1
ID470 2 2 3 223 44 0.5 0.5 1 0
ID471 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID472 2 1 2 212 34 0.5 0.5 0 1
ID473 2 1 2 212 34 0.5 0.5 0 1
ID474 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID475 2 2 2 222 30 0.5 0.5 0 1
ID476 2 1 1 211 52 0.5 0.5 1 0
ID477 2 2 3 223 44 0.5 0.5 1 0
ID478 2 2 3 223 44 0.5 0.5 1 0
ID479 2 2 1 221 26 0.5 0.5 1 0
ID48 2 2 3 223 44 0.5 0.5 1 0
ID480 3 2 4 324 54 0.5 0.5 0 1
ID481 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID482 1 2 1 121 50 0.5 0.5 1 0
ID483 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID484 3 2 4 324 54 0.5 0.5 0 1
ID485 3 1 4 314 40 0.5 0.5 0 1
ID486 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID487 2 1 1 211 52 0.5 0.5 1 0
ID488 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID489 1 2 1 121 50 0.5 0.5 1 0
ID49 1 1 2 112 34 0.5 0.5 0.5177 0.4823
ID490 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID491 2 2 2 222 30 0.5 0.5 0 1
ID492 2 1 1 211 52 0.5 0.5 1 0
ID493 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID494 1 1 3 113 40 0.5 0.5 1 0
ID495 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID496 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID497 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID498 1 2 1 121 50 0.5 0.5 1 0
ID499 3 2 4 324 54 0.5 0.5 0 1
ID5 3 2 2 322 41 0.5 0.5 0 1
ID50 2 2 1 221 26 0.5 0.5 1 0
ID500 3 1 4 314 40 0.5 0.5 0 1
ID501 2 1 4 214 46 0.5 0.5 0 1
ID502 2 1 1 211 52 0.5 0.5 1 0
ID503 3 1 4 314 40 0.5 0.5 0 1
ID504 2 1 1 211 52 0.5 0.5 1 0
ID505 3 2 2 322 41 0.5 0.5 0 1
ID506 3 2 4 324 54 0.5 0.5 0 1
ID507 2 1 3 213 55 0.5 0.5 1 0
ID508 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID509 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID51 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID510 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID511 3 1 4 314 40 0.5 0.5 0 1
ID512 1 1 1 111 47 0.5 0.5 1 0
ID513 2 2 3 223 44 0.5 0.5 1 0
ID514 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID515 3 2 4 324 54 0.5 0.5 0 1
ID516 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID517 2 1 3 213 55 0.5 0.5 1 0
ID518 2 1 4 214 46 0.5 0.5 0 1
ID519 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID52 1 1 1 111 47 0.5 0.5 1 0
ID520 2 1 2 212 34 0.5 0.5 0 1
ID521 3 2 3 323 47 0.5 0.5 0.4815 0.5185
ID522 3 1 2 312 41 0.5 0.5 0 1
ID523 3 1 4 314 40 0.5 0.5 0 1
ID524 2 2 1 221 26 0.5 0.5 1 0
ID525 1 2 1 121 50 0.5 0.5 1 0
ID526 2 2 1 221 26 0.5 0.5 1 0
ID527 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID528 2 2 1 221 26 0.5 0.5 1 0
ID529 3 2 2 322 41 0.5 0.5 0 1
ID53 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID530 3 2 4 324 54 0.5 0.5 0 1
ID531 1 2 1 121 50 0.5 0.5 1 0
ID532 2 1 3 213 55 0.5 0.5 1 0
ID533 2 2 1 221 26 0.5 0.5 1 0
ID534 2 2 3 223 44 0.5 0.5 1 0
ID535 2 1 4 214 46 0.5 0.5 0 1
ID536 2 2 4 224 44 0.5 0.5 0 1
ID537 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID538 1 2 3 123 44 0.5 0.5 1 0
ID539 3 2 4 324 54 0.5 0.5 0 1
ID54 1 2 3 123 44 0.5 0.5 1 0
ID540 1 1 1 111 47 0.5 0.5 1 0
ID541 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID542 3 1 2 312 41 0.5 0.5 0 1
ID543 2 2 1 221 26 0.5 0.5 1 0
ID544 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID545 2 1 2 212 34 0.5 0.5 0 1
ID546 1 2 3 123 44 0.5 0.5 1 0
